637	140
637	140
637	140
637	140
637	140
637	140
637	140
637	140
637	140
637	140
637	140
637	140
637	140
637	140
637	140
637.5	140
639	141
639	141
640	141.5
641.5	142
643	143
645	144.5
645	144.5
645.5	145
647	145.5
648.5	146.5
649	146.5
649.5	147
650	147.5
650.5	148
651	148.5
653.5	150
653.5	150
655.5	150.5
656.5	151
658.5	152
658.5	152
659	153
660	153.5
663	154.5
663	154.5
664	155
665.5	155.5
668.5	156.5
670.5	157.5
672	158
674	158
675	158.5
677	158.5
681	159
684	159
684	159
686	159
687.5	159
687.5	159
690.5	160
692	160
693.5	160
697.5	160
697.5	160
702	160
704	160
706.5	160
709	160.5
712	160.5
714.5	161
719.5	162
721.5	162.5
724.5	162.5
724.5	162.5
729	164
731	164
732.5	164.5
736	164.5
736	164.5
738.5	165.5
739	165.5
741	166
741	166
741.5	166
742.5	166.5
745	167
746.5	168
746.5	168
748.5	168.5
750.5	169
752	169.5
753.5	170
755	170.5
756.5	171
760.5	172.5
762	173
764	173.5
768	175
768	175
770	175.5
774	177
776	177.5
778	178.5
780	179
781.5	179.5
782	180.5
783.5	181
785	181.5
786	183
786	183
787	183.5
787.5	184
788.5	185.5
788.5	185.5
789	186
789.5	186.5
790.5	188
791	189
791.5	190.5
794	194
795	196
796	198.5
797.5	200
799	204.5
799	204.5
800.5	207
801	210
802.5	215
802.5	215
803.5	218
805	223
806.5	228.5
806.5	228.5
807	231
808	233.5
809	235.5
810.5	240
811	242.5
812.5	246.5
812.5	246.5
812.5	246.5
813	249
814	251
814.5	256
816	260.5
816	263
816	263
817	265
818	270
819	272.5
819.5	277.5
820.5	279.5
820.5	279.5
821	282.5
821	284.5
821	290.5
822	292.5
822	292.5
822	297.5
822	300.5
822	303.5
822	306.5
822	312
822	312
822	314
822	316
822	318.5
822	323
822	323
821	325
821	329.5
820.5	331.5
820.5	333.5
820.5	335.5
819.5	340
819.5	342
819.5	344
819	346
819	348.5
819	351
819	353
818.5	357.5
818.5	357.5
818.5	362.5
818.5	365.5
818.5	367.5
818.5	367.5
818.5	372.5
818.5	375.5
818.5	380.5
818.5	380.5
818.5	385.5
819	390
819	392
819	394
819	394
819	396.5
819	398.5
819	400.5
818.5	403
817.5	407
817.5	409
817	411
816	413
815.5	417.5
815.5	417.5
815.5	419.5
815	423.5
814	425.5
814	425.5
813.5	427.5
813	431
811.5	435
811	436
811	438
810	439.5
809.5	441
809	443
808	447
807.5	448
807.5	448
806	452
805.5	454
805	456
804.5	458
803.5	460
803	462
801.5	466
801	468
801	468
800.5	470
799	474
798	476
797	478
795.5	482
795.5	482
794.5	484.5
794	486.5
793.5	488.5
792	492.5
791.5	495
790.5	496
789	499.5
789	499.5
788.5	501.5
788	503.5
786.5	507
786.5	507
786	509
785	510.5
784	513
782.5	515.5
782.5	515.5
782	517
780.5	518.5
780.5	518.5
780	520.5
779.5	522
777	525
776	526.5
775	528.5
774	530
772.5	531.5
770	535
769.5	536
767	540
767	540
766	542
764	543.5
760	549
760	549
760	549
758	550.5
751.5	554.5
751.5	554.5
746.5	558
742	560.5
742	560.5
739	561
737	562
732.5	563.5
732.5	563.5
730.5	564
728	565
725.5	565.5
720	567
717	567.5
714	568.5
711	568.5
703.5	568.5
703.5	568.5
699.5	569.5
692	570
688	570
684.5	570
681.5	570
678	571
674.5	571
670.5	571
661	571
652.5	571
652.5	571
647	570
636	568
636	568
630.5	567.5
626	567.5
621.5	567.5
616	566.5
612.5	565.5
603	563.5
594.5	561.5
589.5	560.5
589.5	560.5
585.5	559.5
577.5	559
573.5	558
569	557
565.5	556
561	555
557.5	554.5
554	553.5
550.5	552.5
547	551.5
539.5	550
539.5	550
536	549
536	549
524.5	545
520	544
516.5	542.5
511.5	541.5
507	540
503.5	538
498.5	536.5
488.5	532
488.5	532
477.5	526
477.5	526
467.5	521.5
464	518.5
460	516.5
453	511.5
453	511.5
450	510.5
447.5	509
444.5	507
439	502.5
436.5	499.5
433.5	497
433.5	497
428.5	492
425.5	488.5
423	486
418	480.5
418	480.5
415.5	478
413	475
409	468
407.5	465
405.5	461.5
405	458
403	451.5
402	448
401.5	443.5
400.5	440.5
399.5	437
399.5	437
399	433.5
398	430
397	425.5
397	423
397	420.5
397	418
396.5	416
396.5	411
396.5	408.5
396.5	405.5
396.5	403
397	400
398	397.5
398.5	394.5
398.5	394.5
400	389.5
401	387
401.5	385
402	382
403	380
403.5	377.5
406	370.5
406	370.5
406.5	368
407.5	366
409	360.5
409	360.5
409.5	358.5
411	354
412	351.5
412.5	349
413	347
414	345
414.5	342.5
416	340.5
417	336
417.5	333.5
418	330.5
419	327
419.5	323
421	314.5
421	314.5
422	310
423	306
424.5	297
425.5	293.5
425.5	293.5
426	289
428	281
429	275.5
430.5	267.5
432.5	259
432.5	259
433.5	254.5
434.5	250.5
435.5	247
435.5	247
437	240
438	236.5
440.5	229.5
440.5	229.5
442.5	222.5
443	219.5
444	217
445	214.5
445.5	212
447	209.5
449.5	204
449.5	204
451	201.5
452	199.5
452	199.5
452	199.5
454	196.5
457	193.5
459.5	191.5
459.5	191.5
461.5	190
463.5	189
463.5	189
463.5	189
464	187.5
465.5	187
467	185.5
469	184
470	183.5
471.5	183
471.5	183
476	180
477	179.5
479.5	178
479.5	178
481	177.5
482.5	177
485	175.5
485	175.5
486.5	175
488	174.5
491.5	173
493	172.5
493	172.5
497	171.5
500	170
502	169.5
504	169
505.5	169
507.5	168
507.5	168
508.5	167.5
510.5	167
514	166
515	165.5
516.5	165
519.5	164
519.5	164
521.5	163.5
523.5	163
525.5	162.5
527.5	162.5
532	161.5
533.5	161
536.5	160.5
538.5	159.5
541	159
544	158.5
549	157.5
549	157.5
551	157
555.5	156
559	154.5
559	154.5
559.5	154.5
560.5	154.5
561.5	154.5
561.5	154.5
562.5	154.5
563	154.5
563.5	154.5
564	154.5
564	154.5
564.5	154.5
565.5	154
567	154
568	153.5
569	153.5
569.5	153
570.5	153
571	152.5
572.5	152
572.5	152
573.5	151.5
575.5	150.5
577	150
577	150
578	150
578.5	149.5
579	149.5
579.5	149.5
580	149.5
580.5	149
582	148.5
583	148
583	148
584.5	147.5
586.5	147
587.5	146.5
588.5	146
589.5	146
590.5	145.5
591	145
591.5	144.5
593	144
594	143.5
594.5	143
595.5	142.5
597	142
597.5	142
598	141.5
598	141.5
599	141
599.5	141
600	141
600.5	140.5
600.5	140.5
601.5	140.5
602	140.5
602	140.5
603.5	140
604	140
604.5	140
605.5	139.5
605.5	139.5
605.5	139.5
606	139.5
606	139.5
606	139.5
606	139.5
606	139.5
606	139.5
606.5	139.5
606.5	139.5
606.5	139.5
606.5	139.5
606.5	139.5
